"filename", "language", "PHP", "JavaScript", "JSON", "Markdown", "XML", "CSS", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Programy\Laragon\laragon\www\ftp\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Programy\Laragon\laragon\www\ftp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programy\Laragon\laragon\www\ftp\app\Console\Kernel.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\Programy\Laragon\laragon\www\ftp\app\Exceptions\Handler.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 28, 7, 56
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\AppController.php", "PHP", 210, 0, 0, 0, 0, 0, 0, 0, 0, 53, 34, 297
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\LoginController.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\RegisterController.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 74
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\VerificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 43
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\DirectoryController.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 84
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\FileController.php", "PHP", 139, 0, 0, 0, 0, 0, 0, 0, 0, 35, 27, 201
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\HomeController.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Kernel.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 67
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\CheckForMaintenanceMode.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 28
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\TrimStrings.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\TrustProxies.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\Programy\Laragon\laragon\www\ftp\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Programy\Laragon\laragon\www\ftp\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 29
"c:\Programy\Laragon\laragon\www\ftp\app\Providers\AuthServiceProvider.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 31
"c:\Programy\Laragon\laragon\www\ftp\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Programy\Laragon\laragon\www\ftp\app\Providers\EventServiceProvider.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 35
"c:\Programy\Laragon\laragon\www\ftp\app\Providers\RouteServiceProvider.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 81
"c:\Programy\Laragon\laragon\www\ftp\app\User.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 40
"c:\Programy\Laragon\laragon\www\ftp\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\Programy\Laragon\laragon\www\ftp\composer.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Programy\Laragon\laragon\www\ftp\composer.lock", "JSON", 0, 0, 7075, 0, 0, 0, 0, 0, 0, 0, 1, 7076
"c:\Programy\Laragon\laragon\www\ftp\config\app.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 0, 120, 33, 235
"c:\Programy\Laragon\laragon\www\ftp\config\auth.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 70, 15, 118
"c:\Programy\Laragon\laragon\www\ftp\config\broadcasting.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 60
"c:\Programy\Laragon\laragon\www\ftp\config\cache.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 34, 18, 104
"c:\Programy\Laragon\laragon\www\ftp\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"c:\Programy\Laragon\laragon\www\ftp\config\database.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 0, 45, 22, 148
"c:\Programy\Laragon\laragon\www\ftp\config\filesystems.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 42, 15, 85
"c:\Programy\Laragon\laragon\www\ftp\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\Programy\Laragon\laragon\www\ftp\config\logging.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 105
"c:\Programy\Laragon\laragon\www\ftp\config\mail.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 47, 16, 101
"c:\Programy\Laragon\laragon\www\ftp\config\queue.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 89
"c:\Programy\Laragon\laragon\www\ftp\config\services.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"c:\Programy\Laragon\laragon\www\ftp\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 145, 33, 200
"c:\Programy\Laragon\laragon\www\ftp\config\view.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 50
"c:\Programy\Laragon\laragon\www\ftp\database\factories\UserFactory.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Programy\Laragon\laragon\www\ftp\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\Programy\Laragon\laragon\www\ftp\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Programy\Laragon\laragon\www\ftp\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\Programy\Laragon\laragon\www\ftp\database\migrations\2022_02_17_085804_files.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\Programy\Laragon\laragon\www\ftp\database\migrations\2022_03_16_110714_directories.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\Programy\Laragon\laragon\www\ftp\database\seeds\DatabaseSeeder.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 17
"c:\Programy\Laragon\laragon\www\ftp\package-lock.json", "JSON", 0, 0, 23935, 0, 0, 0, 0, 0, 0, 0, 1, 23936
"c:\Programy\Laragon\laragon\www\ftp\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Programy\Laragon\laragon\www\ftp\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Programy\Laragon\laragon\www\ftp\public\css\app.css", "CSS", 0, 0, 0, 0, 0, 588, 0, 0, 0, 24, 115, 727
"c:\Programy\Laragon\laragon\www\ftp\public\fonts\fontello.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 16, 43
"c:\Programy\Laragon\laragon\www\ftp\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 39, 12, 61
"c:\Programy\Laragon\laragon\www\ftp\public\js\app.js", "JavaScript", 0, 600, 0, 0, 0, 0, 0, 0, 0, 65, 100, 765
"c:\Programy\Laragon\laragon\www\ftp\public\mix-manifest.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Programy\Laragon\laragon\www\ftp\resources\js\app.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
"c:\Programy\Laragon\laragon\www\ftp\resources\js\application.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 9, 10, 98
