Date : 2022-03-22 22:35:52
Directory : c:\Programy\Laragon\laragon\www\ftp
Total : 108 files,  36387 codes, 1609 comments, 1097 blanks, all 39093 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          6 |     31,214 |          0 |          5 |     31,219 |
| PHP        |         75 |      2,360 |      1,365 |        668 |      4,393 |
| JavaScript |          8 |      1,102 |        161 |        149 |      1,412 |
| CSS        |          7 |        809 |         70 |        148 |      1,027 |
| SCSS       |          5 |        533 |         12 |         80 |        625 |
| HTML       |          2 |        273 |          1 |         11 |        285 |
| XML        |          3 |         83 |          0 |         34 |        117 |
| YAML       |          1 |         13 |          0 |          1 |         14 |
| Markdown   |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        108 |     36,387 |      1,609 |      1,097 |     39,093 |
| app                                                                                                        |         27 |        775 |        421 |        219 |      1,415 |
| app\Console                                                                                                |          1 |         17 |         18 |          7 |         42 |
| app\Exceptions                                                                                             |          1 |         21 |         28 |          7 |         56 |
| app\Http                                                                                                   |         19 |        633 |        282 |        164 |      1,079 |
| app\Http\Controllers                                                                                       |         11 |        523 |        215 |        127 |        865 |
| app\Http\Controllers\Auth                                                                                  |          6 |         95 |        117 |         41 |        253 |
| app\Http\Middleware                                                                                        |          7 |         70 |         47 |         30 |        147 |
| app\Providers                                                                                              |          5 |         86 |         78 |         34 |        198 |
| bootstrap                                                                                                  |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                     |         14 |        510 |        683 |        224 |      1,417 |
| database                                                                                                   |          7 |        132 |         67 |         28 |        227 |
| database\factories                                                                                         |          1 |         13 |         11 |          5 |         29 |
| database\migrations                                                                                        |          5 |        111 |         50 |         20 |        181 |
| database\seeds                                                                                             |          1 |          8 |          6 |          3 |         17 |
| public                                                                                                     |          5 |      1,229 |        128 |        244 |      1,601 |
| public\css                                                                                                 |          1 |        588 |         24 |        115 |        727 |
| public\fonts                                                                                               |          1 |         27 |          0 |         16 |         43 |
| public\js                                                                                                  |          1 |        600 |         65 |        100 |        765 |
| resources                                                                                                  |         35 |      2,471 |        178 |        317 |      2,966 |
| resources\js                                                                                               |          5 |        494 |         59 |         47 |        600 |
| resources\lang                                                                                             |          4 |        131 |         60 |         24 |        215 |
| resources\lang\en                                                                                          |          4 |        131 |         60 |         24 |        215 |
| resources\sass                                                                                             |         14 |      1,148 |         59 |        139 |      1,346 |
| resources\sass\fontello                                                                                    |          9 |        615 |         47 |         59 |        721 |
| resources\sass\fontello\css                                                                                |          6 |        221 |         46 |         33 |        300 |
| resources\sass\fontello\font                                                                               |          1 |         27 |          0 |         16 |         43 |
| resources\views                                                                                            |         12 |        698 |          0 |        107 |        805 |
| resources\views\app                                                                                        |          3 |        332 |          0 |         21 |        353 |
| resources\views\auth                                                                                       |          6 |        284 |          0 |         64 |        348 |
| resources\views\auth\passwords                                                                             |          3 |        134 |          0 |         30 |        164 |
| resources\views\home                                                                                       |          2 |         48 |          0 |         13 |         61 |
| resources\views\layouts                                                                                    |          1 |         34 |          0 |          9 |         43 |
| routes                                                                                                     |          4 |         38 |         41 |         21 |        100 |
| tests                                                                                                      |          4 |         41 |         15 |         19 |         75 |
| tests\Feature                                                                                              |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                 |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                     |          2 |         17 |         27 |          1 |         45 |
| vendor\facade                                                                                              |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition                                                                                     |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources                                                                           |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources\compiled                                                                  |          2 |         17 |         27 |          1 |         45 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Programy\Laragon\laragon\www\ftp\.styleci.yml                                                           | YAML       |         13 |          0 |          1 |         14 |
| c:\Programy\Laragon\laragon\www\ftp\README.md                                                              | Markdown   |          0 |          0 |          1 |          1 |
| c:\Programy\Laragon\laragon\www\ftp\app\Console\Kernel.php                                                 | PHP        |         17 |         18 |          7 |         42 |
| c:\Programy\Laragon\laragon\www\ftp\app\Exceptions\Handler.php                                             | PHP        |         21 |         28 |          7 |         56 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\AppController.php                                 | PHP        |        210 |         53 |         34 |        297 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\ConfirmPasswordController.php                | PHP        |         14 |         20 |          7 |         41 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\ForgotPasswordController.php                 | PHP        |          8 |         10 |          5 |         23 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\LoginController.php                          | PHP        |         14 |         20 |          7 |         41 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\RegisterController.php                       | PHP        |         33 |         32 |          9 |         74 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\ResetPasswordController.php                  | PHP        |         10 |         15 |          6 |         31 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Auth\VerificationController.php                   | PHP        |         16 |         20 |          7 |         43 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\Controller.php                                    | PHP        |         10 |          0 |          4 |         14 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\DirectoryController.php                           | PHP        |         60 |         10 |         14 |         84 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\FileController.php                                | PHP        |        139 |         35 |         27 |        201 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Controllers\HomeController.php                                | PHP        |          9 |          0 |          7 |         16 |
| c:\Programy\Laragon\laragon\www\ftp\app\Http\Kernel.php                                                    | PHP        |         40 |         20 |          7 |         67 |
